Timestamp | Soil_Moisture(%) | Humidity(%) | Temperature(°C) | Light(%)
135843 | 46.23 | 49.80 | 20.05 | 62142.00
135853 | 43.64 | 45.89 | 23.10 | 76705.00
135903 | 45.27 | 48.17 | 20.06 | 74363.00
135913 | 47.74 | 54.76 | 23.78 | 73500.00
135923 | 45.39 | 53.47 | 20.85 | 68585.00
135933 | 45.34 | 47.41 | 21.36 | 69583.00
135943 | 42.10 | 46.39 | 21.33 | 67352.00
135953 | 44.17 | 48.97 | 22.32 | 65687.00
140003 | 43.02 | 54.18 | 21.22 | 65995.00
140013 | 45.47 | 46.59 | 21.54 | 58997.00
140023 | 45.81 | 51.11 | 22.76 | 60827.00
140033 | 46.63 | 47.55 | 23.51 | 71422.00
140043 | 45.66 | 48.39 | 20.04 | 72551.00
140053 | 43.93 | 50.03 | 23.09 | 58429.00
140103 | 46.01 | 45.88 | 23.99 | 56826.00
140113 | 43.35 | 51.86 | 22.77 | 54941.00
140123 | 43.70 | 48.84 | 22.69 | 65408.00
140133 | 42.40 | 50.51 | 23.60 | 73494.00
140143 | 44.55 | 50.09 | 20.80 | 63303.00
140153 | 46.15 | 48.29 | 20.53 | 75617.00
140203 | 46.27 | 51.77 | 23.20 | 75439.00
140213 | 46.30 | 53.61 | 21.66 | 69997.00
