Timestamp | Soil_Moisture(%) | Humidity(%) | Temperature(°C) | Light(%)
115810 | 43.79 | 53.29 | 20.06 | 66335.00
115820 | 97.85 | 45.87 | 21.38 | 4668.00
115830 | 95.94 | 52.66 | 22.43 | 5048.00
115840 | 94.85 | 45.98 | 23.81 | 5444.00
115850 | 95.23 | 51.98 | 23.45 | 6053.00
115900 | 92.61 | 52.54 | 20.68 | 5324.00
115910 | 90.05 | 45.36 | 23.16 | 6101.00
115920 | 88.50 | 52.88 | 20.84 | 5985.00
115930 | 90.26 | 46.08 | 23.06 | 6704.00
115940 | 88.55 | 54.79 | 23.58 | 7228.00
115950 | 85.80 | 54.27 | 22.30 | 7312.00
120000 | 88.07 | 48.96 | 23.99 | 6305.00
120010 | 86.93 | 48.35 | 22.90 | 6943.00
120020 | 86.85 | 48.23 | 23.52 | 6763.00
120030 | 85.56 | 52.21 | 21.28 | 7765.00
120040 | 83.78 | 45.69 | 23.32 | 6641.00
120050 | 84.19 | 45.48 | 20.38 | 7148.00
120100 | 84.49 | 46.79 | 20.40 | 6377.00
120110 | 86.64 | 50.67 | 21.97 | 5661.00
120120 | 83.33 | 53.55 | 22.38 | 5357.00
120130 | 83.51 | 49.53 | 20.01 | 5691.00
120140 | 80.07 | 53.22 | 20.46 | 5653.00
120150 | 82.39 | 51.51 | 21.63 | 6203.00
120200 | 83.25 | 47.48 | 22.51 | 6944.00
120210 | 80.31 | 49.80 | 22.02 | 7290.00
120220 | 80.59 | 53.77 | 23.77 | 8229.00
120230 | 79.28 | 46.88 | 23.81 | 8764.00
120240 | 81.45 | 50.20 | 23.50 | 8537.00
120250 | 78.46 | 49.50 | 22.17 | 9561.00
120300 | 78.20 | 52.95 | 23.47 | 10541.00
Timestamp | Soil_Moisture(%) | Humidity(%) | Temperature(°C) | Light(%)
120405 | 43.30 | 54.22 | 22.80 | 79215.00
120415 | 98.20 | 50.65 | 21.25 | 5737.00
120425 | 97.84 | 45.23 | 20.41 | 6119.00
120435 | 97.08 | 46.84 | 20.64 | 6734.00
120445 | 94.31 | 53.53 | 23.51 | 7148.00
120455 | 94.44 | 45.05 | 20.52 | 6235.00
120505 | 91.11 | 50.92 | 23.76 | 6653.00
120515 | 89.79 | 47.42 | 22.05 | 7213.00
120525 | 88.98 | 47.53 | 22.53 | 6782.00
120535 | 86.67 | 51.43 | 22.42 | 6421.00
120545 | 83.21 | 53.34 | 23.91 | 6771.00
120555 | 83.77 | 48.50 | 21.66 | 7474.00
Timestamp | Soil_Moisture(%) | Humidity(%) | Temperature(°C) | Light(%)
120606 | 42.30 | 48.85 | 23.85 | 77636.00
120616 | 42.65 | 50.18 | 20.21 | 74982.00
120626 | 41.25 | 50.04 | 21.94 | 86425.00
120636 | 42.04 | 52.89 | 23.25 | 72176.00
Timestamp | Soil_Moisture(%) | Humidity(%) | Temperature(°C) | Light(%)
120856 | 45.42 | 53.25 | 23.55 | 91414.00
120906 | 100.00 | 50.84 | 23.38 | 4828.00
120916 | 100.00 | 47.80 | 20.01 | 5354.00
120926 | 97.34 | 53.06 | 21.03 | 5552.00
120936 | 95.60 | 53.59 | 21.83 | 5858.00
120946 | 92.62 | 49.17 | 20.08 | 5210.00
