Timestamp | Soil_Moisture(%) | Humidity(%) | Temperature(°C) | Light(%)
185248 | 42.35 | 49.39 | 21.48 | 29127.00
185258 | 40.27 | 45.19 | 23.43 | 28297.00
185308 | 37.84 | 52.61 | 21.70 | 28317.00
185318 | 35.85 | 49.34 | 21.30 | 28662.00
185328 | 35.81 | 52.45 | 21.38 | 26877.00
185338 | 35.52 | 51.50 | 21.87 | 28924.00
185348 | 36.47 | 47.13 | 21.71 | 27817.00
185358 | 35.34 | 45.53 | 20.26 | 29053.00
185408 | 31.86 | 54.91 | 23.92 | 21978.00
185418 | 30.74 | 51.61 | 23.41 | 21416.00
185428 | 28.43 | 46.70 | 21.85 | 23632.00
185438 | 29.43 | 51.06 | 20.42 | 23632.00
185448 | 29.51 | 46.61 | 20.17 | 22082.00
185458 | 31.45 | 54.88 | 22.12 | 22340.00
185508 | 29.94 | 53.84 | 22.38 | 24900.00
185518 | 31.32 | 53.73 | 22.00 | 29694.00
185528 | 28.40 | 46.31 | 23.01 | 21767.00
185538 | 28.87 | 46.89 | 21.81 | 23640.00
185548 | 30.46 | 45.40 | 20.65 | 25622.00
185558 | 32.40 | 49.34 | 21.04 | 28553.00
185608 | 31.99 | 54.53 | 22.88 | 27185.00
185618 | 29.92 | 45.30 | 21.11 | 25743.00
185628 | 26.86 | 52.39 | 21.30 | 26177.00
185638 | 27.12 | 49.31 | 21.85 | 21671.00
185648 | 28.09 | 49.62 | 23.12 | 29395.00
185658 | 26.93 | 50.99 | 22.20 | 22403.00
185708 | 23.79 | 52.23 | 21.48 | 29529.00
185718 | 24.46 | 53.16 | 20.45 | 25119.00
185728 | 22.37 | 52.37 | 22.16 | 27423.00
185738 | 22.10 | 46.75 | 21.33 | 22121.00
185748 | 23.74 | 50.79 | 21.36 | 22821.00
185758 | 26.15 | 45.54 | 20.27 | 22278.00
185808 | 26.28 | 53.32 | 22.11 | 23102.00
185818 | 24.77 | 45.82 | 23.06 | 29733.00
185828 | 23.37 | 45.77 | 23.52 | 23629.00
185838 | 24.61 | 53.46 | 21.70 | 22772.00
185848 | 22.09 | 47.87 | 23.00 | 21266.00
185858 | 21.72 | 46.35 | 22.36 | 25350.00
185908 | 21.96 | 52.82 | 20.26 | 21880.00
185918 | 20.96 | 54.01 | 23.03 | 26930.00
185928 | 19.65 | 46.55 | 22.37 | 29922.00
185938 | 18.63 | 46.10 | 21.26 | 24146.00
185948 | 20.01 | 53.20 | 22.07 | 28075.00
185958 | 18.71 | 46.76 | 21.04 | 21693.00
190008 | 18.46 | 51.65 | 23.87 | 920.00
190018 | 18.10 | 53.60 | 22.85 | 922.00
190028 | 15.79 | 54.51 | 23.74 | 808.00
190038 | 13.36 | 47.62 | 21.76 | 960.00
